id,t,layer,concept_separated,accuracy
226,960,15,"(True, False, True)",0.5178571428571429
227,960,15,"(False, True, True)",0.4722222222222222
228,960,18,"(True, False, False)",0.5314685314685315
229,960,18,"(False, True, False)",0.5093632958801498
230,960,18,"(False, False, True)",0.5
231,960,18,"(True, True, False)",0.5381944444444444
232,960,18,"(True, False, True)",0.5357142857142857
233,960,18,"(False, True, True)",0.4722222222222222
234,960,21,"(True, False, False)",0.5174825174825175
235,960,21,"(False, True, False)",0.5280898876404494
236,960,21,"(False, False, True)",0.5
237,960,21,"(True, True, False)",0.5243055555555556
238,960,21,"(True, False, True)",0.48214285714285715
239,960,21,"(False, True, True)",0.43333333333333335
240,950,0,"(True, False, False)",0.5734265734265734
241,950,0,"(False, True, False)",0.4868913857677903
242,950,0,"(False, False, True)",0.5
243,950,0,"(True, True, False)",0.5347222222222222
244,950,0,"(True, False, True)",0.5178571428571429
245,950,0,"(False, True, True)",0.5055555555555555
246,950,3,"(True, False, False)",0.5524475524475524
247,950,3,"(False, True, False)",0.50187265917603
248,950,3,"(False, False, True)",0.4852941176470588
249,950,3,"(True, True, False)",0.53125
250,950,3,"(True, False, True)",0.48214285714285715
251,950,3,"(False, True, True)",0.48333333333333334
252,950,6,"(True, False, False)",0.5454545454545454
253,950,6,"(False, True, False)",0.5168539325842697
254,950,6,"(False, False, True)",0.5294117647058824
255,950,6,"(True, True, False)",0.5173611111111112
256,950,6,"(True, False, True)",0.5178571428571429
257,950,6,"(False, True, True)",0.5222222222222223
258,950,9,"(True, False, False)",0.5384615384615384
259,950,9,"(False, True, False)",0.5131086142322098
260,950,9,"(False, False, True)",0.5294117647058824
261,950,9,"(True, True, False)",0.5381944444444444
262,950,9,"(True, False, True)",0.5357142857142857
263,950,9,"(False, True, True)",0.5111111111111111
264,950,12,"(True, False, False)",0.5804195804195804
265,950,12,"(False, True, False)",0.5056179775280899
266,950,12,"(False, False, True)",0.5294117647058824
267,950,12,"(True, True, False)",0.5208333333333334
268,950,12,"(True, False, True)",0.5535714285714286
269,950,12,"(False, True, True)",0.5166666666666667
270,950,15,"(True, False, False)",0.5524475524475524
271,950,15,"(False, True, False)",0.5131086142322098
272,950,15,"(False, False, True)",0.5
273,950,15,"(True, True, False)",0.5277777777777778
274,950,15,"(True, False, True)",0.5
275,950,15,"(False, True, True)",0.5111111111111111
276,950,18,"(True, False, False)",0.5524475524475524
277,950,18,"(False, True, False)",0.49063670411985016
278,950,18,"(False, False, True)",0.45588235294117646
279,950,18,"(True, True, False)",0.5243055555555556
280,950,18,"(True, False, True)",0.5535714285714286
281,950,18,"(False, True, True)",0.5
282,950,21,"(True, False, False)",0.5034965034965035
283,950,21,"(False, True, False)",0.4943820224719101
284,950,21,"(False, False, True)",0.47058823529411764
285,950,21,"(True, True, False)",0.5173611111111112
286,950,21,"(True, False, True)",0.5
287,950,21,"(False, True, True)",0.5166666666666667
288,940,0,"(True, False, False)",0.5874125874125874
289,940,0,"(False, True, False)",0.5543071161048689
290,940,0,"(False, False, True)",0.5147058823529411
291,940,0,"(True, True, False)",0.5381944444444444
292,940,0,"(True, False, True)",0.48214285714285715
293,940,0,"(False, True, True)",0.5
294,940,3,"(True, False, False)",0.5664335664335665
295,940,3,"(False, True, False)",0.5617977528089888
296,940,3,"(False, False, True)",0.5441176470588235
297,940,3,"(True, True, False)",0.5451388888888888
298,940,3,"(True, False, True)",0.4107142857142857
299,940,3,"(False, True, True)",0.5055555555555555
300,940,6,"(True, False, False)",0.5874125874125874
301,940,6,"(False, True, False)",0.5543071161048689
302,940,6,"(False, False, True)",0.5441176470588235
303,940,6,"(True, True, False)",0.5659722222222222
304,940,6,"(True, False, True)",0.42857142857142855
305,940,6,"(False, True, True)",0.5111111111111111
306,940,9,"(True, False, False)",0.5944055944055944
307,940,9,"(False, True, False)",0.5617977528089888
308,940,9,"(False, False, True)",0.4852941176470588
309,940,9,"(True, True, False)",0.5763888888888888
310,940,9,"(True, False, True)",0.42857142857142855
311,940,9,"(False, True, True)",0.49444444444444446
312,940,12,"(True, False, False)",0.5874125874125874
313,940,12,"(False, True, False)",0.5543071161048689
314,940,12,"(False, False, True)",0.5294117647058824
315,940,12,"(True, True, False)",0.5486111111111112
316,940,12,"(True, False, True)",0.44642857142857145
317,940,12,"(False, True, True)",0.5
318,940,15,"(True, False, False)",0.5804195804195804
319,940,15,"(False, True, False)",0.5430711610486891
320,940,15,"(False, False, True)",0.5294117647058824
321,940,15,"(True, True, False)",0.5451388888888888
322,940,15,"(True, False, True)",0.4642857142857143
323,940,15,"(False, True, True)",0.5
324,940,18,"(True, False, False)",0.5944055944055944
325,940,18,"(False, True, False)",0.5543071161048689
326,940,18,"(False, False, True)",0.5
327,940,18,"(True, True, False)",0.5416666666666666
328,940,18,"(True, False, True)",0.5
329,940,18,"(False, True, True)",0.4722222222222222
330,940,21,"(True, False, False)",0.5524475524475524
331,940,21,"(False, True, False)",0.5393258426966292
