id,t,layer,digit_separated,accuracy
335,960,3,5,0.4230769230769231
336,960,3,6,0.5263157894736842
337,960,3,7,0.3389830508474576
338,960,3,8,0.4
339,960,3,9,0.4090909090909091
340,960,6,0,0.5428571428571428
341,960,6,1,0.5067567567567568
342,960,6,2,0.4827586206896552
343,960,6,3,0.5909090909090909
344,960,6,4,0.49019607843137253
345,960,6,5,0.4230769230769231
346,960,6,6,0.5
347,960,6,7,0.3389830508474576
348,960,6,8,0.4
349,960,6,9,0.4090909090909091
350,960,9,0,0.45714285714285713
351,960,9,1,0.5067567567567568
352,960,9,2,0.4827586206896552
353,960,9,3,0.5909090909090909
354,960,9,4,0.49019607843137253
355,960,9,5,0.4230769230769231
356,960,9,6,0.5263157894736842
357,960,9,7,0.3559322033898305
358,960,9,8,0.375
359,960,9,9,0.4318181818181818
360,960,12,0,0.45714285714285713
361,960,12,1,0.5067567567567568
362,960,12,2,0.5172413793103449
363,960,12,3,0.5454545454545454
364,960,12,4,0.47058823529411764
365,960,12,5,0.38461538461538464
366,960,12,6,0.5263157894736842
367,960,12,7,0.3559322033898305
368,960,12,8,0.4
369,960,12,9,0.4318181818181818
370,960,15,0,0.42857142857142855
371,960,15,1,0.5135135135135135
372,960,15,2,0.5172413793103449
373,960,15,3,0.5454545454545454
374,960,15,4,0.5098039215686274
375,960,15,5,0.34615384615384615
376,960,15,6,0.5263157894736842
377,960,15,7,0.4067796610169492
378,960,15,8,0.4
379,960,15,9,0.4318181818181818
380,960,18,0,0.45714285714285713
381,960,18,1,0.4864864864864865
382,960,18,2,0.5517241379310345
383,960,18,3,0.5909090909090909
384,960,18,4,0.5098039215686274
385,960,18,5,0.38461538461538464
386,960,18,6,0.5
387,960,18,7,0.4067796610169492
388,960,18,8,0.4
389,960,18,9,0.4318181818181818
390,960,21,0,0.45714285714285713
391,960,21,1,0.4797297297297297
392,960,21,2,0.5172413793103449
393,960,21,3,0.5909090909090909
394,960,21,4,0.43137254901960786
395,960,21,5,0.5
396,960,21,6,0.5263157894736842
397,960,21,7,0.4067796610169492
398,960,21,8,0.425
399,960,21,9,0.4090909090909091
400,950,0,0,0.5714285714285714
401,950,0,1,0.4864864864864865
402,950,0,2,0.4827586206896552
403,950,0,3,0.5
404,950,0,4,0.5294117647058824
405,950,0,5,0.5
406,950,0,6,0.5526315789473685
407,950,0,7,0.4915254237288136
408,950,0,8,0.4
409,950,0,9,0.45454545454545453
410,950,3,0,0.5714285714285714
411,950,3,1,0.4797297297297297
412,950,3,2,0.4827586206896552
413,950,3,3,0.5454545454545454
414,950,3,4,0.5098039215686274
415,950,3,5,0.4230769230769231
416,950,3,6,0.5263157894736842
417,950,3,7,0.3728813559322034
418,950,3,8,0.425
419,950,3,9,0.45454545454545453
420,950,6,0,0.6
421,950,6,1,0.49324324324324326
422,950,6,2,0.4827586206896552
423,950,6,3,0.5
424,950,6,4,0.47058823529411764
425,950,6,5,0.5
426,950,6,6,0.5263157894736842
427,950,6,7,0.4576271186440678
428,950,6,8,0.425
429,950,6,9,0.45454545454545453
430,950,9,0,0.6
431,950,9,1,0.5135135135135135
432,950,9,2,0.4827586206896552
433,950,9,3,0.5
434,950,9,4,0.5686274509803921
435,950,9,5,0.5384615384615384
436,950,9,6,0.5263157894736842
437,950,9,7,0.4745762711864407
438,950,9,8,0.4
439,950,9,9,0.4318181818181818
440,950,12,0,0.6
441,950,12,1,0.47297297297297297
442,950,12,2,0.5172413793103449
443,950,12,3,0.5
444,950,12,4,0.6078431372549019
445,950,12,5,0.46153846153846156
446,950,12,6,0.5526315789473685
447,950,12,7,0.4745762711864407
448,950,12,8,0.4
449,950,12,9,0.38636363636363635
450,950,15,0,0.6285714285714286
451,950,15,1,0.49324324324324326
452,950,15,2,0.4827586206896552
453,950,15,3,0.5
454,950,15,4,0.5686274509803921
455,950,15,5,0.46153846153846156
456,950,15,6,0.5526315789473685
457,950,15,7,0.4915254237288136
458,950,15,8,0.425
459,950,15,9,0.4318181818181818
460,950,18,0,0.6285714285714286
461,950,18,1,0.4864864864864865
462,950,18,2,0.4827586206896552
463,950,18,3,0.5
464,950,18,4,0.5490196078431373
465,950,18,5,0.46153846153846156
466,950,18,6,0.5789473684210527
